article_id,title,company_name,published_date,pub_year,pub_quarter,pub_month,category,revenue_usd,summary,url,author,word_count,metadata_matched,meta_founded_year,meta_headquarters,meta_employee_count,meta_industry,meta_is_public,meta_stock_ticker,company_age,company_size_category
ART0001,Scale AI Raises Series D Funding Round,Scale AI,2020-02-21,2020,1,2,FinTech,0,The company demonstrated significant advances in model performance and efficiency.,https://technews.example.com/articles/1,John Smith,2569.0,True,2003,"Berlin, Germany",23379,AI/ML,False,,17,Medium
ART0002,DataRobot Announces Breakthrough in Large Language Models,DataRobot,2023-02-23,2023,1,2,SaaS_Software,312151151,Strategic acquisition strengthens competitive position and technology capabilities.,https://technews.example.com/articles/2,Alex Johnson,1878.0,True,2012,"New York, NY",23471,Cloud Computing,True,,11,Medium
ART0003,Meta AI Raises Series D Funding Round,Meta AI,2022-02-17,2022,1,2,Data_Analytics,0,Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/3,John Smith,1981.0,True,2001,"Seattle, WA",20240,Data Analytics,True,,21,Medium
ART0004,Confluent Reports Record Revenue Growth,Confluent,2023-12-13,2023,4,12,AI_ML,100000000,Investors show strong confidence in the company's growth trajectory and market position.,https://technews.example.com/articles/4,Sam Wilson,1994.0,True,1995,"London, UK",3884,Cloud Computing,False,,28,Small
ART0005,Amazon Web Services Acquires Competitor for Undisclosed Sum,Amazon Web Services,2021-12-28,2021,4,12,FinTech,129556431,Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/5,Alex Johnson,2781.0,True,2015,"Berlin, Germany",27826,SaaS,False,,6,Medium
ART0006,NVIDIA Achieves Profitability Milestone,NVIDIA,2021-10-26,2021,4,10,FinTech,6649800000,Financial results exceed analyst expectations across all key metrics.,https://technews.example.com/articles/6,,1788.0,True,2017,"London, UK",22031,AI/ML,False,,4,Medium
ART0007,Tesla Achieves Profitability Milestone,Tesla,2022-10-19,2022,4,10,Cybersecurity,1599700000,Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/7,,1398.0,True,2008,"London, UK",5691,Cloud Computing,True,,14,Small
ART0008,Microsoft Releases Open Source Framework,Microsoft,2022-10-07,2022,4,10,AI_ML,0,Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/8,Sam Wilson,2417.0,True,2018,"Austin, TX",48646,Data Analytics,False,,4,Large
ART0009,MongoDB Expands into European Market,MongoDB,2023-02-07,2023,1,2,AI_ML,80000000,Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/9,Jane Doe,1578.0,True,2008,"Austin, TX",16952,SaaS,False,MONG,15,Medium
ART0010,MongoDB Launches New AI-Powered Product,MongoDB,2022-11-05,2022,4,11,FinTech,603167443,New product features leverage cutting-edge AI technology to solve customer problems.,https://technews.example.com/articles/10,,2672.0,True,2008,"Austin, TX",16952,SaaS,False,MONG,14,Medium
ART0011,OpenAI Faces Regulatory Scrutiny,OpenAI,2021-10-25,2021,4,10,AI_ML,30000000,Regulatory concerns focus on data privacy and market competition issues.,https://technews.example.com/articles/11,John Smith,,True,2006,"Austin, TX",12793,Data Analytics,False,OPEN,15,Medium
ART0012,Cloudflare Raises Series D Funding Round,Cloudflare,2022-12-26,2022,4,12,Cloud_Computing,0,Community contribution aims to accelerate innovation and adoption.,https://technews.example.com/articles/12,,1776.0,True,1998,"Austin, TX",4422,Cybersecurity,False,CLOU,24,Small
ART0013,Uber Achieves Profitability Milestone,Uber,2023-08-23,2023,3,8,Cybersecurity,584800000,Strategic acquisition strengthens competitive position and technology capabilities.,https://technews.example.com/articles/13,John Smith,1442.0,True,2015,"San Francisco, CA",10144,FinTech,False,UBER,8,Medium
ART0014,Confluent Reports Record Revenue Growth,Confluent,2020-01-15,2020,1,1,AI_ML,4888700000,Community contribution aims to accelerate innovation and adoption.,https://technews.example.com/articles/14,Jane Doe,2488.0,True,1995,"London, UK",3884,Cloud Computing,False,,25,Small
ART0015,Tesla Releases Open Source Framework,Tesla,2020-09-27,2020,3,9,SaaS_Software,87300000,Company reaches important financial milestone ahead of schedule.,https://technews.example.com/articles/15,Sam Wilson,2183.0,True,2008,"London, UK",5691,Cloud Computing,True,,12,Small
ART0016,Palantir Unveils Next-Generation Platform,Palantir,2020-04-20,2020,2,4,AI_ML,20000000,Financial results exceed analyst expectations across all key metrics.,https://technews.example.com/articles/16,Jane Doe,1074.0,True,2005,"Berlin, Germany",42306,Cloud Computing,True,,15,Large
ART0017,SpaceX Launches New AI-Powered Product,SpaceX,2021-07-24,2021,3,7,FinTech,20100000,Financial results exceed analyst expectations across all key metrics.,https://technews.example.com/articles/17,Jane Doe,2471.0,True,2016,"Berlin, Germany",31018,AI/ML,False,,5,Large
ART0018,Tesla CEO Discusses Future of AI,Tesla,2020-04-30,2020,2,4,Data_Analytics,0,New product features leverage cutting-edge AI technology to solve customer problems.,https://technews.example.com/articles/18,Jane Doe,739.0,True,2008,"London, UK",5691,Cloud Computing,True,,12,Small
ART0019,Confluent Unveils Next-Generation Platform,Confluent,2023-01-15,2023,1,1,Data_Analytics,153839920,Community contribution aims to accelerate innovation and adoption.,https://technews.example.com/articles/19,John Smith,780.0,True,1995,"London, UK",3884,Cloud Computing,False,,28,Small
ART0020,DataRobot Raises Series D Funding Round,DataRobot,2023-10-14,2023,4,10,Data_Analytics,24188881,Company reaches important financial milestone ahead of schedule.,https://technews.example.com/articles/20,,1795.0,True,2012,"New York, NY",23471,Cloud Computing,True,,11,Medium
ART0021,Databricks Reports Record Revenue Growth,Databricks,2023-10-03,2023,4,10,Data_Analytics,1979917331,Strategic acquisition strengthens competitive position and technology capabilities.,https://technews.example.com/articles/21,John Smith,,True,2003,"Berlin, Germany",17962,Data Analytics,True,DATA,20,Medium
ART0022,DataRobot Faces Regulatory Scrutiny,DataRobot,2020-07-23,2020,3,7,SaaS_Software,2139000000,Financial results exceed analyst expectations across all key metrics.,https://technews.example.com/articles/22,Alex Johnson,2294.0,True,2012,"New York, NY",23471,Cloud Computing,True,,8,Medium
ART0023,Elastic Unveils Next-Generation Platform,Elastic,2021-09-11,2021,3,9,SaaS_Software,820000000,Investors show strong confidence in the company's growth trajectory and market position.,https://technews.example.com/articles/23,John Smith,1136.0,True,2016,"San Francisco, CA",24508,Cybersecurity,True,ELAS,5,Medium
ART0024,Databricks Expands into European Market,Databricks,2023-05-23,2023,2,5,Data_Analytics,37300000,Company reaches important financial milestone ahead of schedule.,https://technews.example.com/articles/24,Sam Wilson,680.0,True,2003,"Berlin, Germany",17962,Data Analytics,True,DATA,20,Medium
ART0025,OpenAI Acquires Competitor for Undisclosed Sum,OpenAI,2020-09-24,2020,3,9,FinTech,31700000,Investors show strong confidence in the company's growth trajectory and market position.,https://technews.example.com/articles/25,,2734.0,True,2006,"Austin, TX",12793,Data Analytics,False,OPEN,14,Medium
ART0026,Anthropic Acquires Competitor for Undisclosed Sum,Anthropic,2023-04-07,2023,2,4,Cloud_Computing,5474620894,Strategic acquisition strengthens competitive position and technology capabilities.,https://technews.example.com/articles/26,Jane Doe,921.0,True,2006,"San Francisco, CA",43747,FinTech,False,,17,Large
ART0027,Airbnb Releases Open Source Framework,Airbnb,2022-04-12,2022,2,4,Cloud_Computing,0,New product features leverage cutting-edge AI technology to solve customer problems.,https://technews.example.com/articles/27,,2186.0,True,1999,"London, UK",19967,Data Analytics,False,,23,Medium
ART0028,NVIDIA Expands into European Market,NVIDIA,2020-11-22,2020,4,11,AI_ML,140000000,Major partnership validates technology and opens new revenue opportunities.,https://technews.example.com/articles/28,Alex Johnson,1432.0,True,2017,"London, UK",22031,AI/ML,False,,3,Medium
ART0029,NVIDIA Announces Breakthrough in Large Language Models,NVIDIA,2023-09-13,2023,3,9,Data_Analytics,4406063729,Company reaches important financial milestone ahead of schedule.,https://technews.example.com/articles/29,,2696.0,True,2017,"London, UK",22031,AI/ML,False,,6,Medium
ART0030,Stripe Announces Breakthrough in Large Language Models,Stripe,2020-08-24,2020,3,8,Cloud_Computing,0,Platform improvements deliver enhanced performance and new capabilities.,https://technews.example.com/articles/30,Alex Johnson,2594.0,True,2002,"Seattle, WA",36348,Data Analytics,True,STRI,18,Large
ART0031,Meta AI CEO Discusses Future of AI,Meta AI,2023-03-26,2023,1,3,FinTech,805083997,Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/31,John Smith,1852.0,True,2001,"Seattle, WA",20240,Data Analytics,True,,22,Medium
ART0032,DataRobot Acquires Competitor for Undisclosed Sum,DataRobot,2023-09-20,2023,3,9,FinTech,7564441144,Platform improvements deliver enhanced performance and new capabilities.,https://technews.example.com/articles/32,Alex Johnson,1285.0,True,2012,"New York, NY",23471,Cloud Computing,True,,11,Medium
ART0033,SpaceX Achieves Profitability Milestone,SpaceX,2022-02-15,2022,1,2,Cloud_Computing,90000000,International expansion strategy focuses on enterprise customers in key markets.,https://technews.example.com/articles/33,Jane Doe,2875.0,True,2016,"Berlin, Germany",31018,AI/ML,False,,6,Large
ART0034,DataRobot Achieves Profitability Milestone,DataRobot,2021-10-21,2021,4,10,Cybersecurity,5659200000,Financial results exceed analyst expectations across all key metrics.,https://technews.example.com/articles/34,,1315.0,True,2012,"New York, NY",23471,Cloud Computing,True,,9,Medium
ART0035,Microsoft Announces Breakthrough in Large Language Models,Microsoft,2020-04-04,2020,2,4,Cybersecurity,0,Platform improvements deliver enhanced performance and new capabilities.,https://technews.example.com/articles/35,,2136.0,True,2018,"Austin, TX",48646,Data Analytics,False,,2,Large
ART0036,NVIDIA Launches New AI-Powered Product,NVIDIA,2023-09-05,2023,3,9,AI_ML,1170000000,Major partnership validates technology and opens new revenue opportunities.,https://technews.example.com/articles/36,John Smith,997.0,True,2017,"London, UK",22031,AI/ML,False,,6,Medium
ART0037,Palantir Launches New AI-Powered Product,Palantir,2022-08-09,2022,3,8,SaaS_Software,0,Financial results exceed analyst expectations across all key metrics.,https://technews.example.com/articles/37,,2635.0,True,2005,"Berlin, Germany",42306,Cloud Computing,True,,17,Large
